,us_news_rank,city,state,metro_population,average_annual_salary,avg_high_low_temps,median_age,median_home_price,avg_annual_rainfall,unemployment_rate,median_monthly_rent,avg_commute_time,percent_single,total_students,total_teachers,violent_crime,property_crime,continent,country,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,year,avg_high,avg_low
0,1,Austin,TX,2000590,51840,79.7° / 54.8°,34.2,292500.0,32.2,0.028999999999999998,1155,26.8,0.508,114529.0,7948.0,306.3,2343.4,North America,United States,163.8,169.3,205.9,205.8,227.1,285.5,317.2,297.9,233.8,215.6,168.3,153.5,2643.7,79.7,54.8
1,2,Denver,CO,2798684,57400,64.6° / 36.2°,36.3,393842.0,14.3,0.03,1203,27.5,0.486,171601.0,9730.0,413.9,1600.9,North America,United States,215.3,211.1,255.6,276.2,290.0,315.3,325.0,306.4,272.3,249.2,194.3,195.9,3106.6,64.6,36.2
2,7,San Francisco,CA,4641820,69700,65.8° / 50.6°,38.8,768517.0,20.7,0.027000000000000003,1673,32.8,0.501,250611.0,15147.0,476.6,2199.8,North America,United States,185.9,207.7,269.1,309.3,325.1,311.4,313.3,287.4,271.4,247.1,173.4,160.6,3061.7,65.8,50.6
3,8,Portland,OR,2382037,55330,63.1° / 45.6°,37.8,375425.0,36.0,0.038,1118,26.6,0.483,135802.0,7144.0,283.2,1877.9,North America,United States,85.6,116.4,191.1,221.1,276.1,290.2,331.9,298.1,235.7,151.7,79.3,63.7,2340.9,63.1,45.6
4,9,Seattle,WA,3735216,63120,60.2° / 45.0°,37.1,442333.0,37.5,0.039,1297,30.1,0.479,195911.0,10762.0,353.7,1963.6,North America,United States,69.8,108.8,178.4,207.3,253.7,268.4,312.0,281.4,221.7,142.6,72.7,52.9,2169.7,60.2,45.0
5,15,Nashville,TN,1830410,47110,69.7° / 48.9°,36.3,248883.0,47.3,0.027999999999999997,951,27.3,0.48100000000000004,106199.0,7253.0,624.9,2558.6,North America,United States,139.6,145.2,191.3,231.5,261.8,277.7,279.0,262.1,226.4,216.8,148.1,130.6,2510.1,69.7,48.9
6,17,Boise,ID,677346,43880,63.5° / 41.2°,35.8,221475.0,11.7,0.026000000000000002,879,22.0,0.461,44431.0,2398.0,235.0,1761.9,North America,United States,109.3,151.9,238.6,281.4,335.5,351.6,399.8,358.8,303.6,238.1,119.6,105.2,2993.4,63.5,41.2
7,20,Charlotte,NC,2427024,50150,70.9° / 48.7°,37.3,213983.0,41.6,0.036000000000000004,935,26.5,0.478,151842.0,9823.0,416.2,2731.9,North America,United States,173.3,180.3,234.8,269.6,292.1,289.2,290.0,272.9,241.4,230.5,178.4,168.5,2821.0,70.9,48.7
8,24,Salt Lake City,UT,2399521,47272,63.8° / 41.6°,30.2,324198.0,16.1,0.03,963,22.2,0.428,,,257.0,3075.0,North America,United States,127.4,163.1,241.9,269.1,321.7,360.5,380.5,352.5,301.1,248.1,150.4,113.1,3029.4,63.8,41.6
9,26,Phoenix,AZ,4561038,49500,86.6° / 63.4°,36.2,234183.0,8.0,0.040999999999999995,1032,26.2,0.51,,,470.6,2814.5,North America,United States,256.0,257.2,318.4,353.6,401.0,407.8,378.5,360.8,328.6,308.9,256.0,244.8,3871.6,86.6,63.4
10,27,Boston,MA,4771936,65420,58.7° / 44.0°,38.7,423450.0,43.8,0.031,1335,31.0,0.508,272427.0,24493.0,305.3,1291.0,North America,United States,163.4,168.4,213.7,227.2,267.3,286.5,300.9,277.3,237.1,206.3,143.2,142.3,2633.6,58.7,44.0
11,30,Houston,TX,6636208,53820,78.9° / 61.5°,34.0,223875.0,54.7,0.043,995,29.7,0.474,425956.0,27792.0,593.1,1481.4,North America,United States,143.4,155.0,192.5,209.8,249.2,281.3,293.9,270.5,236.5,228.8,168.3,148.7,2577.9,78.9,61.5
12,32,Omaha,NE,914190,47660,61.8° / 40.2°,35.4,171164.0,30.6,0.028999999999999998,865,20.2,0.469,61842.0,4048.0,384.5,2750.3,North America,United States,167.8,157.6,206.4,230.1,277.1,314.0,332.5,296.3,245.5,217.5,148.0,134.1,2726.9,61.8,40.2
13,34,San Antonio,TX,2377507,46200,80.2° / 58.6°,34.4,211800.0,32.3,0.033,949,26.0,0.506,147120.0,9725.0,523.9,3028.2,North America,United States,159.4,169.7,215.5,209.7,221.8,275.9,308.8,293.9,234.9,218.0,171.9,149.7,2629.2,80.2,58.6
14,36,San Diego,CA,3283665,56410,69.7° / 57.5°,35.4,555325.0,10.3,0.033,1467,25.7,0.508,195383.0,9417.0,337.1,1695.5,North America,United States,239.3,227.4,261.0,276.2,250.5,242.4,304.7,295.0,253.3,243.4,230.1,231.3,3054.6,69.7,57.5
15,38,Indianapolis,IN,1989032,48030,61.8° / 44.4°,36.3,173700.0,40.8,0.032,859,24.8,0.501,137836.0,7518.0,694.5,2716.4,North America,United States,132.1,145.7,178.3,214.8,264.7,287.2,295.2,273.7,232.6,196.6,117.1,102.4,2440.4,61.8,44.4
16,42,Jacksonville,FL,1447884,45760,79.2° / 61.2°,38.1,174658.0,49.2,0.033,1019,26.5,0.498,91281.0,5450.0,480.8,2777.6,North America,United States,189.4,193.8,257.9,286.4,303.9,283.6,282.0,262.4,228.2,214.6,193.9,183.6,2879.7,79.2,61.2
17,49,Kansas City,MO,2088830,49460,64.6° / 44.5°,37.1,201900.0,38.9,0.034,894,23.0,0.478,124097.0,7689.0,596.7,2727.9,North America,United States,183.7,174.3,223.9,257.8,285.0,305.5,329.3,293.9,240.5,213.6,155.3,147.1,2809.9,64.6,44.5
18,50,Pittsburgh,PA,2348143,48580,60.6° / 41.9°,43.0,140855.0,38.2,0.043,776,26.7,0.49,132334.0,9666.0,278.2,1563.5,North America,United States,93.9,108.5,155.4,182.8,217.4,242.2,254.9,228.4,196.7,167.3,99.4,74.4,2021.3,60.6,41.9
19,51,Columbus,OH,2023695,50020,62.5° / 44.2°,35.8,182600.0,39.3,0.038,887,23.7,0.508,112664.0,6744.0,290.7,2749.3,North America,United States,110.6,126.3,162.0,201.8,243.4,258.1,260.9,235.9,212.0,183.1,104.2,84.3,2182.6,62.5,44.2
20,53,Richmond,VA,1270158,49840,69.6° / 48.1°,38.5,225767.0,43.6,0.032,1044,25.2,0.513,68004.0,4918.0,244.7,2232.6,North America,United States,172.5,179.7,233.3,261.6,288.0,306.4,301.4,278.9,237.9,222.8,183.5,163.0,2829.0,69.6,48.1
21,56,Tampa,FL,2978209,46080,81.7° / 65.1°,42.0,199717.0,46.3,0.034,1014,27.1,0.515,150591.0,9492.0,333.1,2101.6,North America,United States,199.9,202.7,267.5,299.1,314.5,277.8,265.3,249.5,223.0,233.9,201.7,191.6,2926.5,81.7,65.1
22,57,Atlanta,GA,5700990,51390,71.8° / 53.2°,36.1,209658.0,49.7,0.037000000000000005,1053,31.4,0.505,353768.0,23108.0,367.6,2828.0,North America,United States,164.0,171.7,220.5,261.2,288.6,284.8,273.8,258.6,227.5,238.5,185.1,164.0,2738.3,71.8,53.2
23,60,Honolulu,HI,990060,54030,84.4° / 70.9°,37.6,581658.0,17.1,0.021,1653,29.1,0.485,59341.0,3972.0,246.4,2774.4,North America,United States,213.5,212.7,259.2,251.8,280.6,286.1,306.2,303.1,278.8,244.0,200.4,199.5,3035.9,84.4,70.9
24,61,Milwaukee,WI,1575101,50070,55.5° / 40.0°,37.6,207400.0,34.8,0.031,864,23.1,0.523,121319.0,7844.0,680.5,2545.9,North America,United States,140.2,151.5,185.4,213.5,275.5,304.5,321.1,281.2,215.1,178.0,112.8,104.8,2483.6,55.5,40.0
25,64,Louisville,KY,1278203,45100,67.7° / 48.5°,38.8,167300.0,44.9,0.039,792,23.9,0.508,84558.0,5687.0,417.7,2942.4,North America,United States,140.5,148.9,188.6,221.1,263.4,288.9,293.6,272.6,234.3,208.5,135.7,118.3,2514.4,67.7,48.5
26,68,Oklahoma City,OK,1353504,46070,72.2° / 50.7°,34.9,150925.0,36.5,0.033,827,22.7,0.491,72986.0,4362.0,498.4,2897.9,North America,United States,200.8,189.7,244.2,271.3,295.2,326.1,356.6,329.3,263.7,245.1,186.5,180.9,3089.4,72.2,50.7
27,71,Las Vegas,NV,2112436,44450,80.0° / 58.6°,36.9,271767.0,4.2,0.048,1048,24.5,0.5329999999999999,122401.0,5405.0,607.9,2779.2,North America,United States,245.2,246.7,314.6,346.1,388.1,401.7,390.9,368.5,337.1,304.4,246.0,236.0,3825.3,80.0,58.6
28,76,Tucson,AZ,1007257,46140,83.1° / 55.7°,38.2,203458.0,11.6,0.044000000000000004,861,24.5,0.53,,,499.0,3913.4,North America,United States,259.9,258.2,320.7,357.2,400.8,396.9,342.7,335.6,316.4,307.4,264.4,245.8,3806.0,83.1,55.7
29,79,Wichita,KS,642339,43880,67.6° / 45.5°,35.8,143850.0,34.3,0.037000000000000005,769,19.5,0.473,42829.0,2859.0,724.2,3350.2,North America,United States,190.9,186.4,230.4,257.8,289.8,305.0,342.1,309.2,245.6,226.3,170.2,168.7,2922.4,67.6,45.5
30,81,St. Louis,MO,2804998,49180,66.1° / 47.8°,39.0,157725.0,41.0,0.034,858,25.6,0.49700000000000005,175159.0,12242.0,235.3,2405.5,North America,United States,161.2,158.3,198.3,223.5,266.5,291.9,308.9,269.8,236.1,208.4,140.9,129.9,2593.7,66.1,47.8
31,82,Sacramento,CA,2268005,55010,73.8° / 47.6°,37.0,389858.0,21.2,0.037000000000000005,1157,26.8,0.498,138172.0,6825.0,387.2,2249.3,North America,United States,145.5,201.3,278.0,329.6,406.3,419.5,440.2,406.9,347.8,296.7,194.9,141.1,3607.8,73.8,47.6
32,83,Tulsa,OK,977869,45260,71.3° / 50.1°,36.8,149000.0,41.0,0.036000000000000004,804,21.5,0.474,51115.0,3158.0,565.7,3431.4,North America,United States,175.8,171.7,219.6,244.4,266.7,294.8,334.7,305.3,232.5,218.6,161.1,160.8,2786.0,71.3,50.1
33,85,Cleveland,OH,2766162,48589,59.2° / 45.9°,41.0,132516.0,36.4,0.049,782,24.3,0.527,173243.0,11275.0,292.0,2033.0,North America,United States,101.0,122.3,167.0,216.0,263.6,294.6,307.2,262.2,219.0,169.5,89.8,67.8,2280.0,59.2,45.9
34,90,New York City,NY,21139370,63079,62.0° / 47.9°,38.3,386862.0,49.9,0.04,1345,36.0,0.516,1278811.0,101173.0,329.0,1337.0,North America,United States,162.7,163.1,212.5,225.6,256.6,257.3,268.2,268.2,219.3,211.2,151.0,139.0,2534.7,62.0,47.9
35,92,Detroit,MI,4304613,52100,57.8° / 42.7°,40.0,156508.0,31.3,0.043,890,26.8,0.522,254236.0,13582.0,544.0,1945.5,North America,United States,119.9,138.3,184.9,217.0,275.9,301.8,317.0,283.5,227.6,176.0,106.3,87.7,2435.9,57.8,42.7
36,100,Baltimore,MD,2792050,56400,65.0° / 45.1°,38.3,248833.0,41.9,0.042,1220,30.8,0.518,146692.0,11375.0,782.5,2732.9,North America,United States,155.4,164.0,215.0,230.7,254.5,277.3,290.1,264.4,221.8,205.5,158.5,144.5,2581.7,65.0,45.1
37,102,Philadelphia,PA,6065644,54940,64.6° / 47.1°,38.6,200142.0,41.5,0.042,1075,29.5,0.527,382095.0,28337.0,428.7,2055.3,North America,United States,155.7,154.7,202.8,217.0,245.1,271.2,275.6,260.1,219.3,204.5,154.7,137.7,2498.4,64.6,47.1
38,103,Virginia Beach,VA,1717708,47410,68.2° / 52.0°,35.7,220275.0,46.5,0.033,1124,24.3,0.502,93982.0,6449.0,330.8,2624.9,North America,United States,171.5,175.2,229.3,252.8,271.7,280.1,278.3,260.4,231.4,208.3,175.7,160.4,2695.1,68.2,52.0
39,104,Chicago,IL,9549229,54160,59.0° / 40.7°,37.0,221983.0,36.9,0.042,1048,31.6,0.513,601516.0,38591.0,326.6,1979.3,North America,United States,135.8,136.2,187.0,215.3,281.9,311.4,318.4,283.0,226.6,193.2,113.3,106.3,2508.4,59.0,40.7
40,106,Albuquerque,NM,905049,46400,68.7° / 45.4°,37.7,201900.0,9.5,0.046,850,23.4,0.537,52087.0,3439.0,1084.9,5498.9,North America,United States,234.2,225.3,270.2,304.6,347.4,359.3,335.0,314.2,286.7,281.4,233.8,223.3,3415.4,68.7,45.4
41,107,Los Angeles,CA,18585594,53803,69.0° / 56.2°,35.9,526214.0,12.8,0.042,1362,30.4,0.524,1212805.0,59907.0,459.0,2363.0,North America,United States,225.3,222.5,267.0,303.5,276.2,275.8,364.1,349.5,278.5,255.1,217.3,219.4,3254.2,69.0,56.2
42,110,El Paso,TX,838527,38610,77.4° / 51.6°,31.9,151300.0,9.7,0.043,789,23.4,0.505,61827.0,3838.0,356.3,1686.6,North America,United States,254.5,263.0,326.0,348.0,384.7,384.1,360.2,335.4,304.1,298.6,257.6,246.3,3762.5,77.4,51.6
43,113,Miami,FL,6019790,46860,84.3° / 70.0°,40.7,247113.0,61.9,0.037000000000000005,1232,28.9,0.542,346419.0,20669.0,458.2,3076.4,North America,United States,219.8,216.9,277.2,293.8,301.3,288.7,308.7,288.3,262.2,260.2,220.8,216.1,3154.0,84.3,70.0
44,114,New Orleans,LA,1260660,43310,78.2° / 61.1°,37.7,193575.0,62.5,0.045,947,25.8,0.56,83201.0,6083.0,564.0,2948.1,North America,United States,153.0,161.5,219.4,251.9,278.9,274.3,257.1,251.9,228.7,242.6,171.8,157.8,2648.9,78.2,61.1
45,118,Memphis,TN,1344058,43950,72.4° / 53.6°,35.9,151900.0,53.7,0.040999999999999995,883,24.1,0.5489999999999999,78318.0,5188.0,1168.3,4176.7,North America,United States,166.6,173.8,215.3,254.6,301.5,320.6,326.9,307.0,251.2,245.9,173.0,151.9,2888.3,72.4,53.6
46,119,Fresno,CA,971616,45510,76.7° / 51.9°,31.8,260733.0,11.5,0.07400000000000001,931,22.4,0.5329999999999999,63063.0,2883.0,582.3,3087.3,North America,United States,141.5,196.9,286.2,335.5,398.9,412.2,428.2,399.6,345.9,302.3,189.9,127.1,3564.2,76.7,51.9
47,125,San Juan,PR,2193264,29820,86.6° / 75.4°,39.9,,56.4,0.077,502,31.2,0.608,,,254.7,1093.9,North America,Puerto Rico,118.9,200.2,288.9,153.1,214.5,310.3,302.1,268.1,212.2,222.9,139.8,120.5,2700.5,86.6,75.4
